year,pc1_evs,model_evs
2004.0,0.5527325267361197,0.23789355019127822
2005.0,0.524133196031026,0.14734329983283273
2005.0,0.6339781674910147,0.28508598602976337
2007.0,0.693276150177583,0.40135545406091977
2009.0,0.6825304180195768,0.3864543495395352
2010.0,0.9361479172083481,0.5002332719002736
2011.0,0.7237706837499898,0.4148931521163443
2014.0,0.650997779886273,0.4143222087374534
2015.0,0.8808988386421507,0.5180649877412408
2015.0,0.7637643025551695,0.4626538862113067
2019.0,0.974224402017163,0.6782829287535854
2019.0,0.8460776682637432,0.5856385066194024
2020.0,0.9424011897180293,0.6286346533731592
2023.0,0.8806092893339202,0.6293956514724768
2024.0,0.8811105970623975,0.6599540075042818
